n_depots,n_customers,n_charging,charging_repeats,n_vehicles,shrinkage_depots,shrinkage_charging,T,T_step,B,B_step,seed,μ,batch,time_limit,arc_ip_objective,arc_ip_time_taken,arc_ip_solution_time_taken,arc_ip_constraint_time_taken,arc_lp_objective,arc_lp_time_taken,arc_lp_solution_time_taken,arc_lp_constraint_time_taken,arc_ip_time_limit_reached,arc_ip_has_solution,arc_ip_has_optimal_solution
2,12,2,1,3,1.4,0.6,1900.0,50.0,1550.0,50.0,20,5.0,4,3600.0,3675.0,771.285,771.274,0.011,2922.0,0.122,0.017,0.105,false,true,true
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,1,5.0,5,3600.0,4579.0,152.312,152.298,0.014,4163.999999999999,0.082,0.033,0.049,false,true,true
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,2,5.0,5,3600.0,4110.0,861.978,861.929,0.049,3734.035925925925,0.091,0.038,0.052,false,true,true
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,3,5.0,5,3600.0,3395.0,82.265,82.251,0.015,3194.9999999999995,0.076,0.033,0.043,false,true,true
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,4,5.0,5,3600.0,4773.0,3600.245,3600.23,0.015,4252.0,0.047,0.028,0.018,true,true,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,5,5.0,5,3600.0,4345.0,317.519,317.505,0.014,3981.0000000000005,0.072,0.029,0.043,false,true,true
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,6,5.0,5,3600.0,4442.0,3600.206,3600.19,0.015,3746.999999999999,0.107,0.054,0.053,true,true,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,7,5.0,5,3600.0,5143.0,3600.461,3600.448,0.013,4173.0,0.053,0.035,0.018,true,true,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,8,5.0,5,3600.0,3888.0,357.631,357.618,0.013,3434.000000000001,0.081,0.035,0.046,false,true,true
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,9,5.0,5,3600.0,4714.0,3600.368,3600.352,0.016,4003.0,0.045,0.027,0.019,true,true,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,10,5.0,5,3600.0,4549.0,3600.755,3600.741,0.015,3986.0,0.058,0.042,0.016,true,true,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,11,5.0,5,3600.0,4742.0,1038.67,1038.624,0.046,4084.1461333333323,0.157,0.032,0.125,false,true,true
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,12,5.0,5,3600.0,,3600.178,3600.165,0.013,3952.999999999999,0.095,0.078,0.017,true,false,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,13,5.0,5,3600.0,4185.0,3600.339,3600.323,0.015,3302.9999999999995,0.052,0.034,0.017,true,true,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,14,5.0,5,3600.0,,3600.399,3600.386,0.014,5374.0,0.057,0.038,0.018,true,false,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,15,5.0,5,3600.0,4648.0,3600.174,3600.156,0.018,4155.000000000001,0.078,0.031,0.048,true,true,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,16,5.0,5,3600.0,4779.0,82.237,82.221,0.016,4396.0,0.07,0.029,0.041,false,true,true
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,17,5.0,5,3600.0,4334.0,3600.166,3600.151,0.015,3602.0,0.058,0.039,0.02,true,true,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,18,5.0,5,3600.0,4032.0,490.46,490.446,0.014,3552.0,0.077,0.031,0.046,false,true,true
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,19,5.0,5,3600.0,3601.0,3600.194,3600.149,0.045,3119.999999999999,0.088,0.036,0.052,true,true,false
2,15,2,1,3,1.4,0.6,2250.0,50.0,1850.0,50.0,20,5.0,5,3600.0,4508.0,3600.214,3600.197,0.017,3687.999999999999,0.055,0.036,0.02,true,true,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,1,5.0,6,3600.0,4995.0,361.534,361.519,0.015,4612.999999999998,0.083,0.041,0.042,false,true,true
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,2,5.0,6,3600.0,4604.0,3600.287,3600.269,0.018,4042.000000000001,0.077,0.049,0.028,true,true,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,3,5.0,6,3600.0,3828.0,163.866,163.85,0.016,3587.999999999999,0.089,0.042,0.047,false,true,true
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,4,5.0,6,3600.0,,3600.157,3600.14,0.016,5243.999999999999,0.057,0.036,0.021,true,false,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,5,5.0,6,3600.0,5072.0,3600.745,3600.728,0.017,4569.999999999999,0.056,0.038,0.018,true,true,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,6,5.0,6,3600.0,4571.0,3600.195,3600.177,0.017,4186.0,0.06,0.038,0.022,true,true,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,7,5.0,6,3600.0,,3600.152,3600.135,0.017,5041.999999999998,0.068,0.049,0.019,true,false,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,8,5.0,6,3600.0,4468.0,74.962,74.945,0.017,4151.000000000001,0.062,0.04,0.022,false,true,true
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,9,5.0,6,3600.0,4869.0,3600.142,3600.124,0.018,4363.0,0.06,0.039,0.021,true,true,false
2,18,2,1,3,1.4,0.6,2550.0,50.0,2050.0,50.0,10,5.0,6,3600.0,,3600.244,3600.192,0.052,4759.000000000002,0.098,0.048,0.05,true,false,false
