seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,LP_objective_first,LP_objective_last,IP_objective_first,IP_objective_last,LP_IP_gap_first,LP_IP_gap_last
16,20,5,small,small,benchmark,false,12.853,20.368765542,3,30,0.783625,0.453,895090.0,956424.0,1.05821e6,984130.0,15.414709745702648,2.8152784693079136
17,20,5,small,small,benchmark,true,3.486,4.397673084,3,18,0.23614285714285715,0.1565,953170.0,990670.0,991830.0,991830.0,3.8978453968926075,0.11695552665275111
17,20,5,small,small,benchmark,false,6.551,8.660440042,3,18,0.4531428571428572,0.4505,953170.0,990670.0,991830.0,991830.0,3.8978453968926075,0.11695552665275111
18,20,5,small,small,benchmark,true,3.18,3.991511459,2,17,0.24691666666666667,0.12179999999999999,728820.0,746703.5,802761.0,773970.0,9.210836101903308,3.5229401656394987
18,20,5,small,small,benchmark,false,5.83,7.440852625,2,17,0.46924999999999994,0.2792,728820.0,746703.5,802761.0,773970.0,9.210836101903308,3.5229401656394987
19,20,5,small,small,benchmark,true,3.31,5.314813208,2,21,0.2238571428571428,0.2517142857142857,930524.4,941693.0,962266.0,953862.0,3.2986305242001634,1.2757610639694161
19,20,5,small,small,benchmark,false,6.232,9.568654625,2,21,0.43249999999999994,0.4395714285714286,930524.4,941693.0,962266.0,953862.0,3.2986305242001634,1.2757610639694161
20,20,5,small,small,benchmark,true,5.072,7.1771455,2,29,0.27266666666666667,0.17009090909090907,630100.3333333334,663418.0,727494.0,663418.0,13.38755600275282,0.0
20,20,5,small,small,benchmark,false,9.305,13.193915291,2,29,0.5063333333333334,0.33018181818181824,630100.3333333334,663418.0,727494.0,663418.0,13.38755600275282,0.0
1,20,5,small,medium,ours,true,2.102,2.78131225,2,20,0.1254375,0.14650000000000002,742624.0,745640.0,745640.0,745640.0,0.4044847379432448,0.0
1,20,5,small,medium,ours,false,8.449,10.013949167,2,17,0.597,0.49299999999999994,742624.0,745640.0,745640.0,745640.0,0.4044847379432448,0.0
2,20,5,small,medium,ours,true,0.641,0.6616455,1,15,0.038866666666666674,0.038866666666666674,1.001764e6,1.001764e6,1.001764e6,1.001764e6,0.0,0.0
2,20,5,small,medium,ours,false,2.298,2.323785542,1,12,0.18816666666666662,0.18816666666666662,1.001764e6,1.001764e6,1.001764e6,1.001764e6,0.0,0.0
3,20,5,small,medium,ours,true,7.456,8.2549085,2,20,0.4098333333333333,0.33949999999999997,749000.7499999999,749158.0,764605.0,764605.0,2.0408250011443974,2.02025882645287
3,20,5,small,medium,ours,false,32.787,35.428273167,2,21,1.718263157894737,1.2465,749000.7499999999,749158.0,760385.0,760385.0,1.4971691971830237,1.4764888839206458
4,20,5,small,medium,ours,true,4.216,4.262550125,1,20,0.2059,0.2059,572250.0,572250.0,607276.0,607276.0,5.767723407478642,5.767723407478642
4,20,5,small,medium,ours,false,18.718,18.760374917,1,18,1.0347222222222223,1.0347222222222223,572250.0,572250.0,594314.0,594314.0,3.7125156062283615,3.7125156062283615
5,20,5,small,medium,ours,true,7.43,7.460388708,1,15,0.49033333333333334,0.49033333333333334,662756.0,662756.0,666402.0,666402.0,0.5471172055306006,0.5471172055306006
5,20,5,small,medium,ours,false,33.22,33.266027959,1,17,1.9469411764705884,1.9469411764705884,662756.0,662756.0,666402.0,666402.0,0.5471172055306006,0.5471172055306006
6,20,5,small,medium,ours,true,1.898,1.92925275,1,13,0.14215384615384616,0.14215384615384616,773590.0,773590.0,795166.0,795166.0,2.713395693477838,2.713395693477838
6,20,5,small,medium,ours,false,7.417,7.442475667,1,12,0.6135,0.6135,773590.0,773590.0,813310.0,813310.0,4.883746664863331,4.883746664863331
7,20,5,small,medium,ours,true,1.633,1.664556041,1,12,0.12925,0.12925,772846.5714285714,772846.5714285714,776074.0,776074.0,0.4158660864078234,0.4158660864078234
7,20,5,small,medium,ours,false,7.386,7.420454084,1,11,0.6636363636363637,0.6636363636363637,772846.5714285714,772846.5714285714,779514.0,779514.0,0.8553314721003957,0.8553314721003957
8,20,5,small,medium,ours,true,7.345,7.383025166,1,22,0.3290454545454546,0.3290454545454546,697720.0,697720.0,697720.0,697720.0,0.0,0.0
8,20,5,small,medium,ours,false,45.244,45.282742709,1,21,2.148428571428571,2.148428571428571,697720.0,697720.0,697720.0,697720.0,0.0,0.0
9,20,5,small,medium,ours,true,1.037,1.064917416,1,12,0.07825000000000001,0.07825000000000001,687293.0,687293.0,687293.0,687293.0,0.0,0.0
9,20,5,small,medium,ours,false,9.38,9.406728083,1,16,0.5788125000000001,0.5788125000000001,687293.0,687293.0,687293.0,687293.0,0.0,0.0
10,20,5,small,medium,ours,true,22.935,22.9897365,1,17,1.341882352941176,1.341882352941176,804050.0,804050.0,804050.0,804050.0,0.0,0.0
10,20,5,small,medium,ours,false,106.446,106.490175166,1,17,6.251470588235295,6.251470588235295,804050.0,804050.0,804050.0,804050.0,0.0,0.0
11,20,5,small,medium,ours,true,2.853,2.890993083,1,17,0.1613529411764706,0.1613529411764706,689148.0,689148.0,689148.0,689148.0,0.0,0.0
11,20,5,small,medium,ours,false,10.551,10.583443459,1,16,0.6549375000000001,0.6549375000000001,689148.0,689148.0,689148.0,689148.0,0.0,0.0
12,20,5,small,medium,ours,true,3.405,4.195662667,2,18,0.2216666666666667,0.22766666666666666,650921.0,651090.3333333334,656317.0,656317.0,0.8221636800509469,0.7963631395600967
12,20,5,small,medium,ours,false,16.264,19.967113834,2,16,1.2463846153846154,1.1950000000000003,650921.0,651090.3333333335,670856.0,670856.0,2.9715766125666288,2.9463352294183065
13,20,5,small,medium,ours,true,0.962,0.988620584,1,11,0.08290909090909089,0.08290909090909089,787478.0,787478.0,792148.0,792148.0,0.5895362987724528,0.5895362987724528
13,20,5,small,medium,ours,false,3.479,3.501838042,1,10,0.3397,0.3397,787478.0,787478.0,792148.0,792148.0,0.5895362987724528,0.5895362987724528
14,20,5,small,medium,ours,true,0.848,1.16224725,2,16,0.07327272727272727,0.051000000000000004,945287.5,949760.0,951740.0,951740.0,0.6779687729842165,0.20804001092735724
14,20,5,small,medium,ours,false,4.116,4.888324959,2,16,0.3125384615384615,0.23433333333333337,945287.5,949760.0,960770.0,960770.0,1.6114678851337993,1.145955847913649
15,20,5,small,medium,ours,true,1.236,1.256449167,1,9,0.13255555555555554,0.13255555555555554,814414.0,814414.0,814414.0,814414.0,0.0,0.0
15,20,5,small,medium,ours,false,6.758,6.787774834,1,11,0.6086363636363636,0.6086363636363636,814414.0,814414.0,814414.0,814414.0,0.0,0.0
16,20,5,small,medium,ours,true,3.57,4.20654625,2,23,0.18305263157894736,0.10925,949122.5,956424.0,984130.0,984130.0,3.5572028085720353,2.8152784693079136
16,20,5,small,medium,ours,false,21.45,25.911964834,2,31,0.8892916666666666,0.6201428571428572,949122.5,956424.0,981150.0,981150.0,3.2642817102379817,2.520103959639197
