seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,LP_objective_first,LP_objective_last,IP_objective_first,IP_objective_last,LP_IP_gap_first,LP_IP_gap_last
10,16,4,small,small,benchmark,true,62.918,92.1795255,3,31,3.9104375000000005,1.79,656928.888888889,712946.0,769378.0,713300.0,14.615587021088594,0.04962848731249192
10,16,4,small,small,benchmark,false,83.538,143.397692667,3,31,5.1979999999999995,3.628333333333334,656928.888888889,712946.0,769378.0,713300.0,14.615587021088594,0.04962848731249192
11,16,4,small,small,benchmark,true,24.563,51.541887667,3,31,2.2215454545454545,1.2212222222222222,597335.3,647118.0,691528.0,647118.0,13.620952441549717,0.0
11,16,4,small,small,benchmark,false,33.153,130.359497125,3,31,3.0031818181818184,4.072666666666667,597335.3,647118.0,691528.0,647118.0,13.620952441549717,0.0
12,16,4,small,small,benchmark,true,6.974,12.688094625,2,21,0.6882999999999999,0.5068181818181818,568540.0,580077.0,652617.0,580077.0,12.883053919833532,0.0
12,16,4,small,small,benchmark,false,8.773,16.14255625,2,21,0.8671,0.656818181818182,568540.0,580077.0,652617.0,580077.0,12.883053919833532,0.0
13,16,4,small,small,benchmark,true,8.787,12.739258209,3,18,0.7899090909090909,0.48866666666666664,716791.5,756618.0,790983.0,761288.0,9.379657969893163,0.6134340748836231
13,16,4,small,small,benchmark,false,10.682,16.284354875,3,18,0.9620909090909091,0.7413333333333334,716791.5,756618.0,790983.0,761288.0,9.379657969893163,0.6134340748836231
14,16,4,small,small,benchmark,true,6.367,11.808063625,6,22,0.6303,0.469,770203.3333333334,802301.0,808150.0,808150.0,4.695497947988203,0.7237517787539449
14,16,4,small,small,benchmark,false,7.773,14.982251209,6,22,0.7716000000000001,0.609,770203.3333333334,802301.0,808150.0,808150.0,4.695497947988203,0.7237517787539449
15,16,4,small,small,benchmark,true,8.772,12.019922625,2,17,0.7838181818181819,0.5063333333333333,685822.6923076924,748454.0,779070.0,748454.0,11.969053832429388,0.0
