seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,time_taken_total_SR3,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,sp_time_taken_mean_last_SR3,LP_objective_first,LP_objective_last,LP_objective_last_SR3,IP_objective_first,IP_objective_last,IP_objective_last_SR3,LP_IP_gap_first,LP_IP_gap_last,LP_IP_gap_last_SR3
14,16,4,small,small,benchmark,false,1.3,2.3890000000000002,2.672,7,24,0.12420000000000002,0.095,0.139,770203.3333333334,802301.0,808150.0,808150.0,808150.0,808150.0,4.695497947988203,0.7237517787539449,0.0
15,16,4,small,small,benchmark,true,1.252,1.708,1.708,2,15,0.123,0.07400000000000001,0.07400000000000001,685822.6923076923,748454.0,748454.0,777150.0,748454.0,748454.0,11.751567611440228,0.0,0.0
15,16,4,small,small,benchmark,false,1.701,2.457,2.457,2,15,0.17333333333333334,0.12416666666666666,0.12416666666666666,685822.6923076923,748454.0,748454.0,777150.0,748454.0,748454.0,11.751567611440228,0.0,0.0
16,16,4,small,small,benchmark,true,1.817,2.227,3.131,5,28,0.11026666666666667,0.06616666666666667,0.176,819143.7499999997,840765.0,844934.0,855100.0,844934.0,844934.0,4.204917553502552,0.4934113197007095,0.0
16,16,4,small,small,benchmark,false,2.304,2.9139999999999997,3.8839999999999995,5,28,0.14126666666666665,0.09949999999999999,0.17,819143.7499999997,840765.0,844934.0,855100.0,844934.0,844934.0,4.204917553502552,0.4934113197007095,0.0
17,16,4,small,small,benchmark,true,1.331,2.408,2.515,4,25,0.09430769230769229,0.06883333333333334,0.104,735836.6666666666,799980.0,801710.0,820480.0,801710.0,801710.0,10.316318902756116,0.21578875154357746,0.0
17,16,4,small,small,benchmark,false,2.047,4.117,4.312,4,25,0.14976923076923077,0.15766666666666665,0.191,735836.6666666666,799980.0,801710.0,820480.0,801710.0,801710.0,10.316318902756116,0.21578875154357746,0.0
18,16,4,small,small,benchmark,true,2.313,3.1220000000000003,7.553000000000001,8,42,0.21800000000000003,0.08925,0.21933333333333335,611795.0,663967.0,675153.5,686461.0,678467.0,677437.0,10.876947124454261,2.1371710046324988,0.0033707931512451106
18,16,4,small,small,benchmark,false,3.3,4.679,15.02,8,42,0.3125,0.163,0.25066666666666665,611795.0,663967.0,675153.5,686461.0,678467.0,677437.0,10.876947124454261,2.1371710046324988,0.0033707931512451106
19,16,4,small,small,benchmark,true,1.5,2.391,2.391,2,18,0.13630000000000003,0.10812499999999999,0.10812499999999999,689036.0,692192.0,692192.0,692192.0,692192.0,692192.0,0.45594285978456384,0.0,0.0
19,16,4,small,small,benchmark,false,2.0,3.3890000000000002,3.3890000000000002,2,18,0.1845,0.1705,0.1705,689036.0,692192.0,692192.0,692192.0,692192.0,692192.0,0.45594285978456384,0.0,0.0
20,16,4,small,small,benchmark,true,1.195,2.4290000000000003,2.4290000000000003,5,30,0.10879999999999998,0.0505,0.0505,609971.6666666666,636720.0,636720.0,729090.0,636720.0,636720.0,16.337946389791846,0.0,0.0
20,16,4,small,small,benchmark,false,1.758,3.6959999999999997,3.6959999999999997,5,30,0.1652,0.0875,0.0875,609971.6666666666,636720.0,636720.0,729090.0,636720.0,636720.0,16.337946389791846,0.0,0.0
1,16,4,small,medium,ours,true,0.593,0.96,1.298,4,22,0.04338461538461538,0.04033333333333333,0.335,660987.1666666666,674785.5,675981.5,686313.0,686313.0,686313.0,3.6901287507789315,1.6796272254787525,0.015053627135140912
1,16,4,small,medium,ours,false,2.169,3.547,4.464,4,26,0.1525714285714286,0.168,0.22775,660987.1666666666,674785.5,675981.5,686313.0,686313.0,686313.0,3.6901287507789315,1.6796272254787525,0.015053627135140912
2,16,4,small,medium,ours,true,0.296,0.296,0.296,1,10,0.0276,0.0276,0.0276,935864.0,935864.0,935864.0,935864.0,935864.0,935864.0,0.0,0.0,0.0
2,16,4,small,medium,ours,false,0.762,0.762,0.762,1,10,0.07440000000000001,0.07440000000000001,0.07440000000000001,935864.0,935864.0,935864.0,935864.0,935864.0,935864.0,0.0,0.0,0.0
3,16,4,small,medium,ours,true,1.038,1.038,3.3970000000000002,2,16,0.07715384615384617,0.07715384615384617,0.7843333333333333,648910.0,648910.0,649010.0,649010.0,649010.0,649010.0,0.015408083080381552,0.015408083080381552,0.0
3,16,4,small,medium,ours,false,4.966,4.966,5.775,2,14,0.41133333333333333,0.41133333333333333,0.402,648910.0,648910.0,649010.0,649010.0,649010.0,649010.0,0.015408083080381552,0.015408083080381552,0.0
4,16,4,small,medium,ours,true,0.568,0.568,0.568,1,9,0.05788888888888889,0.05788888888888889,0.05788888888888889,535531.0,535531.0,535531.0,535531.0,535531.0,535531.0,0.0,0.0,0.0
4,16,4,small,medium,ours,false,2.374,2.374,2.374,1,9,0.25855555555555554,0.25855555555555554,0.25855555555555554,535531.0,535531.0,535531.0,535531.0,535531.0,535531.0,0.0,0.0,0.0
5,16,4,small,medium,ours,true,1.438,1.438,2.435,2,14,0.10800000000000001,0.10800000000000001,0.995,630044.0,630044.0,633472.0,633472.0,633472.0,633472.0,0.5411446756920624,0.5411446756920624,0.0
5,16,4,small,medium,ours,false,4.571,4.571,5.632,2,15,0.3780833333333333,0.3780833333333333,0.351,630044.0,630044.0,633472.0,633472.0,633472.0,633472.0,0.5411446756920624,0.5411446756920624,0.0
6,16,4,small,medium,ours,true,0.433,0.6890000000000001,7.072,5,18,0.04555555555555556,0.0498,2.36,704872.0,705972.0,712344.0,712344.0,712344.0,712344.0,1.0489314151589713,0.894511640443385,0.0
