n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,shrinkage_depots,shrinkage_charging,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,formulation,method,subpath_single_service,subpath_check_customers,path_single_service,path_check_customers,check_customers_accelerated,LP_objective,IP_objective,LP_IP_gap,counter,converged,time_taken,sp_base_time_taken_total,sp_full_time_taken_total,lp_relaxation_time_taken_total,sp_base_time_taken_mean,sp_full_time_taken_mean,lp_relaxation_time_taken_mean,lp_mean_subpath_length,lp_weighted_mean_subpath_length,lp_mean_path_length,lp_weighted_mean_path_length,lp_mean_ps_length,lp_weighted_mean_ps_length,ip_mean_subpath_length,ip_weighted_mean_subpath_length,ip_mean_path_length,ip_weighted_mean_path_length,ip_mean_ps_length,ip_weighted_mean_ps_length
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,benchmark,false,false,false,false,false,491649.8667726409,695636.0,0.41490122750646585,18,true,70.033,0.0,56.54,10.821000000000002,0.0,3.141111111111111,0.6011666666666667,5.416666666666667,2.620733592257174,17.944444444444443,3.5000000000000004,3.611111111111111,1.5425113738268876,2.6666666666666665,2.6666666666666665,3.5,3.5,1.5,1.5
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,subpath,benchmark,false,false,false,false,false,538352.5714285714,960519.0,0.7841820601899767,11,true,5.635,0.0,4.356,0.871,0.0,0.39599999999999996,0.07918181818181819,4.75,2.7281631557761976,8.2,3.5000000000000004,1.95,1.4466226708074532,2.5384615384615383,2.5384615384615383,3.5,3.5,1.625,1.625
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,benchmark,false,false,true,false,false,579681.0,579681.0,0.0,8,true,3.088,0.0,2.538,0.35000000000000003,0.0,0.31725,0.043750000000000004,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,subpath,benchmark,false,false,true,false,false,646218.0,650633.0,0.0068320597693039,10,true,2.375,0.0,1.976,0.22600000000000003,0.0,0.1976,0.022600000000000002,3.0588235294117645,2.739130434782609,4.181818181818182,3.5,1.5454545454545454,1.4375,3.0,2.8181818181818183,3.857142857142857,3.5,1.4285714285714286,1.375
4,16,9,8,circular,random_box,grid,1.0,0.7,40000,4,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,true,true,false,543177.6666666667,547441.0,0.0078488744934897,5,true,72.422,11.149000000000001,57.242999999999995,1.7320000000000002,2.2298,11.448599999999999,0.34640000000000004,2.6666666666666665,2.3714285714285714,4.2,3.0000000000000004,1.8,1.4583333333333335,2.7777777777777777,2.4545454545454546,3.6666666666666665,3.0,1.5,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,benchmark,false,false,true,true,false,579681.0,579681.0,0.0,7,true,4383.463,0.0,4362.567,16.978,0.0,623.2238571428571,2.4254285714285717,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,subpath,benchmark,false,false,true,true,false,646218.0,650633.0,0.0068320597693039,8,true,346.431,0.0,342.668,2.527,0.0,42.8335,0.315875,3.0588235294117645,2.739130434782609,4.181818181818182,3.5,1.5454545454545454,1.4375,3.0,2.8181818181818183,3.857142857142857,3.5,1.4285714285714286,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,benchmark,false,false,true,true,true,579681.0,579681.0,0.0,8,true,259.324,0.0,258.849,0.27599999999999997,0.0,32.356125,0.034499999999999996,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,true,subpath,benchmark,false,false,true,true,true,646218.0,650633.0,0.0068320597693039,10,true,23.144,0.0,22.76,0.23600000000000007,0.0,2.2760000000000002,0.023600000000000006,3.0588235294117645,2.739130434782609,4.181818181818182,3.5,1.5454545454545454,1.4375,3.0,2.8181818181818183,3.857142857142857,3.5,1.4285714285714286,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,false,false,false,false,false,491649.8667726408,645063.0,0.31203737374000706,18,true,10.257,0.808,5.311999999999999,2.533,0.044888888888888895,0.2951111111111111,0.14072222222222222,5.825396825396825,2.6207335922571744,18.77777777777778,3.5,3.611111111111111,1.5425113738268874,3.0,2.8181818181818183,3.857142857142857,3.5,1.4285714285714286,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,false,false,false,false,529900.0000000001,669674.0,0.2637742970371766,11,true,9.374,6.273000000000001,1.679,0.893,0.5702727272727274,0.15263636363636365,0.08118181818181819,3.736842105263158,2.6949152542372885,6.777777777777778,3.4999999999999996,2.111111111111111,1.475,3.0,2.8181818181818183,3.857142857142857,3.5,1.4285714285714286,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,false,false,false,529900.0000000001,669674.0,0.2637742970371766,12,true,84.441,76.16,6.462,1.1509999999999998,6.346666666666667,0.5385,0.09591666666666665,3.736842105263158,2.6949152542372885,6.777777777777778,3.4999999999999996,2.111111111111111,1.475,3.0,2.8181818181818183,3.857142857142857,3.5,1.4285714285714286,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,false,false,true,529900.0000000001,669674.0,0.2637742970371766,12,true,18.858,15.139999999999999,2.1719999999999997,1.0219999999999998,1.2616666666666665,0.18099999999999997,0.08516666666666665,3.736842105263158,2.694915254237288,6.777777777777778,3.4999999999999996,2.111111111111111,1.475,3.0,2.8181818181818183,3.857142857142857,3.5,1.4285714285714286,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,false,true,false,false,579681.0,579681.0,0.0,10,true,6.141,5.435,0.51,0.12199999999999998,0.5435,0.051000000000000004,0.012199999999999999,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,true,true,false,579681.0,579681.0,0.0,7,true,1444.99,35.1,1401.6609999999998,5.6899999999999995,5.014285714285714,200.2372857142857,0.8128571428571428,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375
4,16,9,8,circular,random_box,grid,1.0,0.7,40000,4,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,true,true,true,543177.6666666667,544760.0,0.002913104552040302,14,true,39.082,13.764,25.079,0.12900000000000006,0.9831428571428571,1.7913571428571429,0.009214285714285718,2.764705882352941,2.3714285714285714,4.2,3.0,1.8,1.4583333333333335,2.7777777777777777,2.3333333333333335,4.2,3.0,1.8,1.5
4,20,9,8,circular,random_box,grid,1.0,0.7,40000,20,15000,5,7,3,5.0,20.0,1.3,1,0.2,false,false,subpath,ours,true,true,true,true,true,579681.0,579681.0,0.0,13,true,135.535,28.855,106.408,0.155,2.2196153846153845,8.185230769230769,0.011923076923076923,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375,3.2222222222222223,2.8181818181818183,4.333333333333333,3.5,1.5,1.375
