n_depots,n_customers,n_charging,n_vehicles,depot_pattern,customer_pattern,charging_pattern,shrinkage_depots,shrinkage_charging,T,seed,B,μ,travel_cost_coeff,charge_cost_coeff,load_scale,load_shape,load_tolerance,batch,permissiveness,use_load,use_time_windows,method,subpath_single_service,subpath_check_customers,path_single_service,path_check_customers,check_customers_accelerated,LP_objective,IP_objective,LP_IP_gap,counter,converged,time_taken,sp_base_time_taken_total,sp_full_time_taken_total,lp_relaxation_time_taken_total,sp_base_time_taken_mean,sp_full_time_taken_mean,lp_relaxation_time_taken_mean,lp_mean_subpath_length,lp_weighted_mean_subpath_length,lp_mean_path_length,lp_weighted_mean_path_length,lp_mean_ps_length,lp_weighted_mean_ps_length,ip_mean_subpath_length,ip_weighted_mean_subpath_length,ip_mean_path_length,ip_weighted_mean_path_length,ip_mean_ps_length,ip_weighted_mean_ps_length
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,false,false,false,595842.48,986254.0,0.6552260590752106,11,true,69.409,61.34799999999999,6.3309999999999995,0.511,5.577090909090908,0.5755454545454545,0.04645454545454546,2.918032786885246,2.729605073508216,8.6875,4.000000000000001,3.875,1.7345,2.8461538461538463,2.8461538461538463,4.0,4.0,1.625,1.625
4,20,6,8,circular,random_box,grid,1.0,0.7,40000,10,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,true,false,768735.0,768735.0,0.0,8,true,595.128,0.0,593.0120000000001,1.4749999999999999,0.0,74.12650000000001,0.18437499999999998,2.5384615384615383,2.5384615384615383,3.5,3.5,1.625,1.625,2.5384615384615383,2.5384615384615383,3.5,3.5,1.625,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,false,false,true,595842.4800000001,970182.0,0.6282524871338475,11,true,24.3,18.503999999999998,3.128,0.45600000000000007,1.682181818181818,0.2843636363636364,0.04145454545454546,2.918032786885246,2.729605073508216,8.6875,4.0,3.875,1.7345,2.7142857142857144,2.7142857142857144,4.0,4.0,1.75,1.75
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,false,true,false,false,727405.0,727405.0,0.0,12,true,13.566,11.071000000000002,2.014,0.30600000000000005,0.9225833333333334,0.1678333333333333,0.025500000000000005,3.0,2.8461538461538463,4.428571428571429,4.0,1.7142857142857142,1.625,3.0,2.8461538461538463,4.428571428571429,4.0,1.7142857142857142,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,true,true,false,721980.0,721980.0,0.0,6,true,3824.401,34.528,3776.355,10.309,5.754666666666666,629.3925,1.7181666666666666,2.7142857142857144,2.7142857142857144,4.0,4.0,1.75,1.75,2.8461538461538463,2.7142857142857144,4.428571428571429,4.0,1.8571428571428572,1.75
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,13,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,true,true,true,true,true,721980.0,721980.0,0.0,15,true,521.246,42.69,477.919,0.4710000000000001,2.8459999999999996,31.861266666666666,0.031400000000000004,2.7142857142857144,2.7142857142857144,4.0,4.0,1.75,1.75,2.7142857142857144,2.7142857142857144,4.0,4.0,1.75,1.75
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,false,false,false,666633.0696969697,1.20674e6,0.8102012259135987,11,true,12.692,0.0,11.488999999999999,0.9039999999999999,0.0,1.0444545454545453,0.08218181818181818,3.4925373134328357,2.7841931636904294,9.047619047619047,4.0,3.238095238095238,1.681432291666667,2.411764705882353,2.411764705882353,4.0,4.0,2.125,2.125
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,false,false,848270.0,848270.0,0.0,11,true,6.018,0.0,5.456,0.36300000000000004,0.0,0.49600000000000005,0.033,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,true,false,848270.0,848270.0,0.0,7,true,3900.805,0.0,3888.093,10.122,0.0,555.4418571428571,1.446,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,benchmark,false,false,true,true,true,848270.0,848270.0,0.0,11,true,261.641,0.0,260.837,0.534,0.0,23.712454545454545,0.04854545454545455,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625,3.1818181818181817,2.8461538461538463,5.0,4.0,1.8333333333333333,1.625
4,24,12,8,circular,random_box,grid,1.0,0.7,40000,14,15000,5,7,3,5.0,20.0,1.3,1,0.7,false,false,ours,false,false,false,false,false,734838.2142857143,1.221672e6,0.6625047204267993,11,true,6.392,4.362,1.5729999999999997,0.30000000000000004,0.39654545454545453,0.143,0.02727272727272728,3.2549019607843137,2.7760158572844396,8.055555555555555,4.000000000000001,3.0555555555555554,1.6891741071428574,2.6,2.6,4.0,4.0,1.875,1.875
