n_customers,method,ngroute_alt,ngroute_neighborhood_charging_size,time_taken_first_geomean,time_taken_total_geomean,time_taken_total_SR3_geomean,time_taken_total_SR3_geomean_skipmissing,time_taken_total_lmSR3_geomean,sp_time_taken_mean_first_geomean,sp_time_taken_mean_last_geomean,sp_time_taken_mean_last_SR3_geomean,sp_time_taken_mean_last_SR3_geomean_skipmissing,sp_time_taken_mean_last_lmSR3_geomean,LP_IP_gap_first_mean,LP_IP_gap_last_mean,LP_IP_gap_last_SR3_mean,LP_IP_gap_last_SR3_mean_skipmissing,LP_IP_gap_last_lmSR3_mean,converged_first_mean,converged_last_mean,converged_last_SR3_mean,converged_last_lmSR3_mean,n_iterations_mean,n_CG_iterations_mean,n_CG_iterations_SR3_mean,n_CG_iterations_lmSR3_mean
20,benchmark,true,small,6.496277338636123,10.200429405578593,17.191485895839175,17.191485895839175,17.215404308516067,0.4585143393412614,0.38438279881359033,0.8318544804684395,0.8318544804684395,0.6831436221119366,9.614746640400167,0.9608368434332792,0.18186274843297268,0.18186274843297268,0.18186274843297212,0.05,0.4,0.7,0.75,5.15,23.3,30.1,33.0
20,benchmark,true,medium,7.455793501060204,7.777211754839802,13.977394918059368,13.977394918059368,13.730597606102997,0.5839633677675191,0.5499864707326931,1.0414217359786178,1.0414217359786178,0.8883976900138683,1.2075447062489695,1.0873386534090241,0.17574171458158372,0.17574171458158372,0.17574171458158372,0.35,0.4,0.75,0.75,3.4,13.5,19.3,21.0
20,ours,false,small,1.4788218287316623,7.585139577782596,13.219219238087993,13.219219238087993,15.793442302233219,0.08575887307842478,0.5365582486813987,0.8008759354811698,0.8008759354811698,0.9761087412144004,10.975729776208128,1.3275824935348042,0.19664149795357355,0.19664149795357355,0.23902828927003625,0.05,0.4,0.75,0.75,4.9,25.1,31.95,33.75
20,ours,false,medium,20.59858216672218,21.613907129344476,30.310707111477775,30.310707111477775,33.612871997490736,1.4842126002171638,1.3829470442014924,1.6857348599614221,1.6857348599614221,1.8590451660349891,1.1345837159010297,1.0513580685505515,0.19627773849715535,0.19627773849715535,0.24617305435107983,0.35,0.4,0.75,0.7,3.5,14.85,21.05,22.85
20,ours,true,small,1.281212774456723,2.6731896544397142,4.696032573625192,4.696032573625192,5.429774566510363,0.07343736313616865,0.12384371775800966,0.24579916065442362,0.24579916065442362,0.30639557619653707,10.975729776208128,1.3275824935348042,0.19664149795357355,0.19664149795357355,0.23902828927003625,0.05,0.4,0.75,0.75,4.9,25.35,32.45,33.2
20,ours,true,medium,3.8029894030464186,3.9720613352289225,6.616296317284889,6.616296317284889,7.396717489945958,0.24483710193989813,0.23102704599817708,0.41646691239972583,0.41646691239972583,0.4605625227724624,1.0544555813616736,0.9321526491111376,0.17354835913063915,0.17354835913063915,0.21942518436763256,0.35,0.4,0.75,0.8,3.4,16.2,22.35,23.3
24,benchmark,false,small,24.58405017041223,39.88078367814299,56.39094320281921,56.39094320281921,56.531546248586956,1.5038356975042346,1.2859296302965912,2.1535617301783674,2.1535617301783674,1.8293128515798873,9.059998371434306,0.9273707007114045,0.033139729814198327,0.033139729814198327,0.03313972981419555,0.0,0.45,0.75,0.8,4.6,27.25,34.05,36.2
24,benchmark,false,medium,25.269922406300036,27.297247006601093,41.614749495113024,41.614749495113024,43.69681281105361,1.7693804786579126,1.6420751832102216,2.3671872436577943,2.3671872436577943,2.1594872703651835,0.9309145672288949,0.6672514900463511,0.03313972981419555,0.03313972981419555,0.03313972981419555,0.3,0.45,0.8,0.8,3.35,15.75,22.35,24.55
24,benchmark,true,small,13.722764137437421,21.774657575767588,35.05968410418783,35.05968410418783,33.328333662647346,0.8194233211636652,0.676686246136731,1.5564976600308664,1.5564976600308664,1.1928965210931768,9.059998371434306,0.9273707007114045,0.033139729814198327,0.033139729814198327,0.03313972981419555,0.0,0.45,0.75,0.8,4.6,27.25,34.2,35.95
24,benchmark,true,medium,16.176499224088047,17.498253110631246,30.8117436452719,30.8117436452719,30.830076769116992,1.1232056632772354,1.0459001923665618,1.9875069135638557,1.9875069135638557,1.6376541646540597,0.9309145672288949,0.6672514900463511,0.03313972981419555,0.03313972981419555,0.03313972981419555,0.3,0.45,0.8,0.8,3.35,15.75,22.25,24.85
24,ours,false,small,2.757555740242245,16.89823054377822,25.67589494341133,25.67589494341133,33.43473412669932,0.1343385542027924,1.0504978018490485,1.5034269095995811,1.5034269095995811,1.9073994098452667,10.633887298112592,1.2529016250347949,0.03313972981419555,0.03313972981419555,0.15501424316213097,0.0,0.45,0.8,0.8,4.65,31.5,38.3,41.9
24,ours,false,medium,46.57761881269969,49.830980266590366,69.9713305613567,69.9713305613567,80.02986842632832,2.88691576287137,2.6972661850975372,3.209735584791304,3.209735584791304,3.457124223560832,1.032867312134525,0.828962769373393,0.03313972981419555,0.03313972981419555,0.10498369341899016,0.3,0.45,0.8,0.85,3.35,17.7,25.05,28.4
