methodname,4_7_20_8_40000_15000,4_7_20_8_50000_15000,4_7_20_8_60000_15000,4_7_20_8_70000_15000,4_7_20_8_80000_15000,4_7_24_8_40000_15000,4_7_24_8_50000_15000,4_7_24_8_60000_15000,4_7_24_8_70000_15000,4_7_24_8_80000_15000,4_7_28_8_40000_15000,4_7_28_8_50000_15000,4_7_28_8_60000_15000,4_7_28_8_70000_15000,4_7_28_8_80000_15000,4_7_32_8_40000_15000,4_7_32_8_50000_15000,4_7_32_8_60000_15000,4_7_32_8_70000_15000,4_7_32_8_80000_15000,4_7_36_8_40000_15000,4_7_36_8_50000_15000,4_7_36_8_60000_15000,4_7_36_8_70000_15000,4_7_36_8_80000_15000,4_7_40_8_40000_15000,4_7_40_8_50000_15000,4_7_40_8_60000_15000,4_7_40_8_70000_15000,4_7_40_8_80000_15000
path_ours_false_false_false_false_false_true_true_true_small,1.0486966570455816,1.0735246247837806,1.0687951780786993,1.076966064092964,1.0790023389439098,1.0500090268734503,1.0715768409189992,1.0881154708893042,1.0848909016995298,1.1002431001401192,1.0646370201755893,1.086360597994214,1.0928908853961237,1.1080558867295485,1.1064544871561337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1204841879689085,1.1272365398737858,1.1123379484534774,NaN,NaN,1.0977753416056348,1.1372268714419391,NaN
path_ours_true_true_false_false_false_true_false_false_none,1.0417666360996702,1.0598146850048575,1.0828489123024698,1.090071813192168,1.0813996852118943,1.044649368895852,1.0669949394243552,1.089994051806428,1.1017929503180661,1.0842561434637024,1.0540079195231402,1.0797418253593651,1.0774622420047648,1.090357209686146,1.0920633415151484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1494649939727375,NaN,NaN,NaN,NaN,NaN
path_ours_true_true_true_true_false_true_false_false_none,1.0256412099304943,1.0311610457089475,1.0317925588550347,1.068164297568356,1.0794468475186034,1.025459863197441,1.0355493178635427,1.0687934156680696,NaN,NaN,1.047943150085645,1.0457879910702386,NaN,NaN,NaN,1.0338938083112565,NaN,NaN,NaN,NaN,1.2217377794601365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subpath_benchmark_false_false_false_false_false_true_false_false_none,1.0709854392091385,1.081487570217045,1.092668366173267,1.1006519765034968,1.1029232194278653,1.0681660083053308,1.0594025263062765,1.0859304082943868,1.0900076728871706,1.0801472256444875,1.0644551418133108,1.0874586971159448,1.0907433597958645,1.1065368436192597,1.1172054466125496,1.0426082712468974,NaN,NaN,1.1409861585292558,NaN,NaN,1.1187639592801797,NaN,NaN,1.117064357827961,1.073909798870729,NaN,1.0888327356273997,NaN,1.1315113082996522
subpath_benchmark_false_false_false_false_false_true_true_false_large,1.0252483953540388,1.0324614719710627,1.036654315111139,1.0381049032599263,1.03822071778616,1.02836042896974,1.03127832944666,1.0279256182734837,1.0353374075147808,1.0479366313329639,1.026085529864663,1.0382915996997855,1.0291236536897093,1.0441588757938383,1.052881094348234,1.0262575597941435,1.0222728283813967,1.0291652838246348,1.0803359833797388,1.0308336366821944,1.0347380161223885,NaN,1.1545451258230235,1.410393008044507,NaN,NaN,1.0579217120164217,NaN,NaN,1.4425278389572642
subpath_benchmark_false_false_false_false_false_true_true_false_small,1.0404185417297058,1.0639765576198248,1.0757441927705997,1.0861201424113696,1.0866309813539223,1.0436471723581275,1.0463520563251183,1.0740579722680854,1.0606491436701109,1.069111038784652,1.0661227353179275,1.0755624967774933,1.0791197802173704,1.0737452045556128,1.0486918878293632,NaN,NaN,1.0872982286786068,1.110905386112199,1.0737035260655508,1.0485077197006432,NaN,1.08550720223609,1.0641472654063793,NaN,NaN,1.0826841149594326,1.1586498439349997,1.2803509734800493,NaN
subpath_benchmark_false_false_false_false_false_true_true_true_large,1.0251002581702209,1.034027580728153,1.0361855788019916,1.0589835677636195,1.0845021569744393,1.0254323041595452,1.029860153281146,1.0610813546451219,1.2660109847791214,1.2993394782158516,1.0256255331160602,1.0552268199971984,1.2595025745538317,NaN,NaN,NaN,1.0931424836435508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0793256325442044,NaN,NaN,NaN,NaN
subpath_benchmark_false_false_false_false_false_true_true_true_small,1.0388979378435717,1.0641491908192209,1.0709423175889283,1.0853095420434578,1.080501509651618,1.0459859915565015,1.0713227145930533,1.0688164596787972,1.0771539219768038,1.086132192134126,1.0553136337530646,1.0779584657548222,1.0759984316567768,1.0955271834204314,1.1035503068064507,1.045204504989852,NaN,NaN,NaN,1.093189900405084,NaN,1.079919568580993,1.0837373483265689,1.1745641551063108,NaN,1.0383042905721411,NaN,1.2093462078227653,1.306330057115299,NaN
subpath_benchmark_false_false_true_true_false_false_false_false_none,1.024980331690236,1.092505343743609,1.0654313870414351,1.0729413174173723,NaN,1.1097500216586584,1.3478144714765952,NaN,NaN,NaN,1.432746622751757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subpath_benchmark_false_false_true_true_true_false_false_false_none,1.0245712311961737,1.032369921258601,1.037450257302142,1.0369718559880408,1.0380648378522244,1.02609773362163,1.0305085934212106,1.037217144782789,1.0383522792331639,1.043660741494852,1.0300579413952213,1.0354507242522948,1.0436457772305785,1.0435387219548558,1.0474835628088572,NaN,NaN,1.0336915615717328,1.0330808803614349,1.0678416968213253,1.0329243976296727,NaN,NaN,1.0407136545004854,NaN,1.0352834831504898,NaN,NaN,1.0452900044109283,NaN
subpath_ours_false_false_false_false_false_true_false_false_none,1.0532943960716898,1.0666435910487748,1.1031854440251523,1.1050775507294661,1.1207454383902413,1.0511018133612706,1.0919742193515694,1.1070528864064915,1.0978452480040335,1.1031048946082636,1.0771038519942826,1.1097405930712396,1.1175587219527396,1.1071318563724302,1.1292244007818106,NaN,1.100512808166975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1589785360404723,NaN
subpath_ours_false_false_false_false_false_true_true_false_large,1.0276306257962093,1.0317166235863802,1.0361386245529514,1.0367672641811472,1.0382209439036325,1.0272020668062756,1.0291590801215524,1.0338381901821516,1.035165966444431,1.039544976778632,1.0264660931999052,1.0365375290508354,1.0425579211904241,1.045290042787257,1.0405480824246127,NaN,1.047847962542038,1.049067395935361,1.1022615779487661,NaN,NaN,1.0824151484416755,NaN,1.6477899352089171,1.623768054267847,1.073200323675667,NaN,NaN,1.5829612594587086,1.590221876701147
subpath_ours_false_false_false_false_false_true_true_false_small,1.054297286418977,1.0831874541648676,1.0934438606868893,1.0860370663284384,1.0823969735316301,1.0532694399566298,1.0646076276749068,1.0859371530546085,1.098502304783593,1.1070443222398874,1.056372963744502,1.086410624818624,1.0912576859149556,1.097734059902873,1.1115937997233116,NaN,NaN,NaN,1.1020467665948668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subpath_ours_false_false_false_false_false_true_true_true_large,1.0260403606931914,1.0329191980651844,1.0693982756396818,1.1578555845942264,1.2312646899422186,1.0268451841131883,1.029438657901537,1.0634097386716101,1.2454071578166326,1.5366652011944744,1.026331043522777,1.057450034333834,1.3949090801930621,1.5725530616944952,NaN,NaN,NaN,NaN,2.014897231504471,NaN,NaN,1.4745722417245137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
