methodname,4_7_20_8_40000_15000,4_7_20_8_50000_15000,4_7_20_8_60000_15000,4_7_20_8_70000_15000,4_7_20_8_80000_15000,4_7_24_8_40000_15000,4_7_24_8_50000_15000,4_7_24_8_60000_15000,4_7_24_8_70000_15000,4_7_24_8_80000_15000,4_7_28_8_40000_15000,4_7_28_8_50000_15000,4_7_28_8_60000_15000,4_7_28_8_70000_15000,4_7_28_8_80000_15000,4_7_32_8_40000_15000,4_7_32_8_50000_15000,4_7_32_8_60000_15000,4_7_32_8_70000_15000,4_7_32_8_80000_15000,4_7_36_8_40000_15000,4_7_36_8_50000_15000,4_7_36_8_60000_15000,4_7_36_8_70000_15000,4_7_36_8_80000_15000,4_7_40_8_40000_15000,4_7_40_8_50000_15000,4_7_40_8_60000_15000,4_7_40_8_70000_15000,4_7_40_8_80000_15000
subpath_benchmark_false_false_false_false_false_true_true_false_large,0.9962490156571844,0.9445918555369927,0.9434789230469379,0.9135562413456834,0.8777971607684764,0.9290186974589659,0.9753956039004898,0.9318472580588423,0.8110399396662671,0.8734532157086801,0.80613766887027,0.8030544575677914,0.7200610656309133,0.8276484381339578,0.8989078352798682,0.9086878093865772,0.9123392176019776,0.8265884681041115,0.8817210502926733,0.9844986652750518,0.7787248993299644,NaN,0.8532042227804573,0.9576625937751311,NaN,NaN,0.8471315715105447,NaN,NaN,0.995773010755975
subpath_benchmark_false_false_false_false_false_true_true_false_small,0.9823947710624348,0.92364039687972,0.9188658555432481,0.8889698573403436,0.854494591747272,0.9206986446355325,0.8886953387575695,0.9463908710713821,0.8122719669685572,0.8735884059953494,0.8343295152745845,0.8059189296596208,0.7964681392386278,0.7729606340270099,0.9764455018133043,NaN,NaN,0.8428990355069887,0.7211053383582675,0.7770035430781834,0.746235293268375,NaN,0.8187354454177037,0.8342137860538555,NaN,NaN,0.7672626564912253,0.8231133097985754,0.806216869731765,NaN
subpath_benchmark_false_false_false_false_false_true_true_true_large,0.99625756105442,0.9445918555369927,0.9430068994683543,0.9402535471873579,0.937528332725345,0.9348941663090395,0.9361758313716623,0.9359590739185428,0.920057783760355,0.796448698191836,0.881095793942255,0.8446168218795743,0.8469570020289466,NaN,NaN,NaN,0.9445130457440877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9060201800317703,NaN,NaN,NaN,NaN
subpath_benchmark_false_false_false_false_false_true_true_true_small,0.9823947710624349,0.9236432331598611,0.918871496130597,0.888712374238734,0.8544975010526986,0.9236616519496854,0.9199472351975088,0.9043996009646437,0.7909550965285624,0.7994894619260681,0.8225238239224992,0.8149864876620088,0.7493591818679668,0.8179547922796127,0.9249493645505119,0.8842061141918034,NaN,NaN,NaN,0.7795210506709467,NaN,0.7198563455314273,0.7532604799162388,0.7704805267881822,NaN,0.7886382841238208,NaN,0.7746908339492534,0.776152200710667,NaN
subpath_benchmark_false_false_true_true_false_false_false_false_none,0.9966607074066752,0.9923557609521357,1.0,1.0,NaN,0.9950598032030835,0.9861658489299544,NaN,NaN,NaN,0.9883053348872006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subpath_benchmark_false_false_true_true_true_false_false_false_none,0.9968976203387125,0.9455820653888789,0.9437253750433442,0.9141631932744139,0.8779422318314944,0.9359659033198582,0.9362355792729808,0.9252308057713847,0.8109437678728465,0.8221968656121433,0.8359948497703833,0.8146115302331783,0.7851808742007736,0.8338065569099188,0.9442613694617198,NaN,NaN,0.7873631503006282,0.8446632996884488,0.787453629347682,0.7496124171759719,NaN,NaN,0.6986532140714422,NaN,0.6224023042018069,NaN,NaN,0.7193482350440737,NaN
subpath_ours_false_false_false_false_false_true_false_false_none,0.9848573631825348,0.9255949217988466,0.9230962956457794,0.8925493449256349,0.8575822883405058,0.9258904333918785,0.9229633100311692,0.9057721064453169,0.7939026567173764,0.802558162526837,0.8234947002982966,0.8167482372542277,0.7477215877992169,0.8110602516519855,0.9300542818790424,NaN,0.7779979999220875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6556682406330359,NaN
subpath_ours_false_false_false_false_false_true_true_false_large,0.995207178953129,0.9445918555369927,0.9426165500221073,0.9128363270614732,0.8767666723978358,0.9348352072148385,0.9365913191153915,0.9244956753279645,0.8097634443491861,0.8196102400556118,0.8352100250031388,0.8322666598993929,0.7711183618049082,0.8173243521940925,0.9512977974101052,NaN,0.8195232558121869,0.8587510369773583,0.9145444383992124,NaN,NaN,0.9603948546905858,NaN,0.969098831784418,0.9824507852413743,0.835321049378819,NaN,NaN,0.9639878420994903,0.9687455738819873
subpath_ours_false_false_false_false_false_true_true_false_small,0.9863694697502299,0.9299947442354256,0.924642369592249,0.8949106853496298,0.8594783455108935,0.9285312925269892,0.9246160449007282,0.9099001869545932,0.7946771417329206,0.8032309347867924,0.8280396955221667,0.8191576345224201,0.7523283751156031,0.8159651827335491,0.9295738697762583,NaN,NaN,NaN,0.844045276895232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subpath_ours_false_false_false_false_false_true_true_true_large,0.9955994676566261,0.9445918555369927,0.960975172838805,0.982021814578985,0.9655831075563972,0.9354683790923264,0.9358402278601,0.9382019737062024,0.8941821853304381,0.9308063034703242,0.8350150581761142,0.8457873075109245,0.884130121104361,1.0,1.0,NaN,NaN,NaN,1.0,NaN,NaN,0.9302613641688852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subpath_ours_false_false_false_false_false_true_true_true_small,0.9873026106621138,0.9295671106370385,0.9256791310767216,0.8944189246851003,0.8608398171161363,0.9284211839550622,0.924568543511022,0.9095913470141099,0.7948208209970672,0.8041650066750057,0.8275345698175492,0.8200330033023121,0.7516966374527989,0.8164200844034332,0.9333957422939578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7056903288613013,NaN,NaN,NaN,0.6703399237278924,NaN
subpath_ours_true_true_false_false_false_true_false_false_none,0.9846690953542842,0.9260052133035052,0.9216355964406852,0.8925867393311094,0.8564588541774463,0.9261316856099617,0.922369814953718,0.9076559902536087,0.7935753104808658,0.8025178365348096,0.8251055549132648,0.8167644478867411,0.7509121851661993,0.8146667408178535,0.9301045611452446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6856933799021891,NaN
subpath_ours_true_true_false_false_true_true_false_false_none,0.9841370040457644,0.9253390687317159,0.9220907626687106,0.8907446768139016,0.8568898354653436,0.9261191913876285,0.9219901876432892,0.9071559332293202,0.7936958102448546,0.801738164503937,0.8245585751240677,0.8163037655902274,0.750622367047995,0.8140051888331058,0.9296983731071154,NaN,NaN,NaN,0.8504072965331365,NaN,NaN,NaN,NaN,NaN,0.7615247321276081,NaN,NaN,0.7161219150971704,0.6800380784706291,0.721332585295263
subpath_ours_true_true_true_true_false_true_false_false_none,0.9960834768728455,0.9566166039065026,0.9841898789255017,0.9117600357263149,0.935291831149413,0.9420718953792097,0.9780133224016639,0.999292525942047,1.0,NaN,0.9711567243899002,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN
subpath_ours_true_true_true_true_true_true_false_false_none,0.9968976203387125,0.9449665838770913,0.9431088804328895,0.912552638500655,0.8773257367551229,0.9359659033198582,0.9373608496801034,0.9258647972052042,0.8113234472622171,0.8227111317468964,0.8357821758262617,0.8329581625603015,0.7699488294700438,0.8349816897300368,0.9561355905594585,NaN,NaN,NaN,NaN,0.8016065077760279,NaN,NaN,NaN,0.7680911837212024,0.7546759240513207,NaN,NaN,0.789192328149189,0.6894073338924409,NaN
